"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0.0170885263931142,-1.42732691997206,0.05,0.115,1,"Gins4"
0.0171203339135869,0.854668522299695,0.26,0.17,1,"Samsn1"
0.0171714351944863,0.378775507003746,0.775,0.745,1,"Mafb"
0.0172844565867891,-0.858810227008116,0.145,0.235,1,"Tmem147"
0.0173935124379424,-0.988896259392483,0.16,0.25,1,"Rnasel"
0.0175428253403305,-1.43930292813342,0.065,0.135,1,"Tpgs1"
0.0176130205404367,-1.0784727161316,0.075,0.15,1,"Rpl10-ps3"
0.0177689919449129,1.04148426805277,0.17,0.09,1,"Lbr"
0.0181555296183114,-0.6259727227566,0.265,0.375,1,"Mpc2"
0.0186355856775251,-0.586423848872845,0.265,0.37,1,"Clec4n"
0.0186810846431908,-0.858909145430558,0.125,0.21,1,"Arhgap12"
0.0190012983368411,0.914637285836194,0.235,0.155,1,"Mtln"
0.0192970250325899,1.02225486451167,0.1,0.04,1,"Pitrm1"
0.0193216319681724,-1.44483901531642,0.055,0.12,1,"Faap20"
0.01963677787329,0.924427182384742,0.21,0.125,1,"Smim4"
0.019730839663313,-0.634535013379995,0.235,0.34,1,"Chd9"
0.0199761808454734,0.890521634846388,0.27,0.185,1,"Synj1"
0.0202244689133218,0.428521100526337,0.65,0.6,1,"Ptp4a2"
0.020253482838926,0.93985204206177,0.12,0.055,1,"Sec16a"
0.0203087461835364,-0.375170449648042,0.07,0.145,1,"Cbr2"
0.0203376355598803,0.668741829385893,0.335,0.24,1,"Aff4"
0.0204832089628839,-0.803061624048526,0.07,0.145,1,"Ankrd13c"
0.0205431542855293,1.12203808528574,0.1,0.04,1,"Syt11"
0.0205431542855293,-1.34355641325396,0.04,0.1,1,"Slc30a7"
0.0206500977026326,-1.47593536181955,0.04,0.1,1,"Kdm5c"
0.020822200132391,-1.07827614979357,0.09,0.17,1,"Ugcg"
0.0210466557808,0.470074596655823,0.41,0.315,1,"Crip1"
0.0211373409307513,-0.986454628044193,0.04,0.1,1,"Slc49a4"
0.0211735646352666,-0.470921422303531,0.2,0.305,1,"Tnrc6c"
0.021313509947984,-0.821827799358961,0.16,0.255,1,"Dhx9"
0.0214159025120739,-0.759875264538463,0.165,0.26,1,"Zfp622"
0.0215095641105345,-0.266814162628477,0.625,0.74,1,"Atp5j2"
0.0216910425438382,-0.696031748774032,0.165,0.26,1,"Tsc22d1"
0.0217491057160686,-0.861653706637233,0.135,0.225,1,"Ltc4s"
0.0221573439419245,-0.348020154093331,0.635,0.76,1,"Kif5b"
0.0222732491112957,0.445867384120547,0.275,0.175,1,"Cox16"
0.0223940327206234,1.14459816577478,0.15,0.08,1,"Gpalpp1"
0.0224860605869763,0.621343448314671,0.43,0.36,1,"Cox17"
0.0225399888391258,0.822067215270296,0.265,0.18,1,"Nucb2"
0.0226171982678911,-0.654880977340699,0.295,0.395,1,"Tmem160"
0.022626698882888,-0.532002725856464,0.22,0.33,1,"Higd2a"
0.0226542618194461,-0.442645443485814,0.32,0.425,1,"Atp1b1"
0.022745077416801,-0.577633515912626,0.315,0.405,1,"Ube2d2a"
0.0228066616217904,0.792173222332775,0.29,0.205,1,"Ociad1"
0.0228505440640488,0.756186908934043,0.16,0.085,1,"Fndc3b"
0.0228553705806375,-0.807203108604394,0.15,0.235,1,"Anapc5"
0.0228573808651486,1.05737482177367,0.15,0.08,1,"Srcap"
0.0228739431744265,-0.486098831234312,0.115,0.205,1,"Fuca2"
0.0230267857506895,0.414268406178331,0.63,0.545,1,"Uqcr11"
0.0231127225028898,-1.1692239405476,0.06,0.125,1,"Mdm2"
0.0231454826546453,-0.641442384343347,0.185,0.28,1,"Ralb"
0.023572180016958,0.56631556997843,0.19,0.105,1,"Irs2"
0.0238477993657288,0.896300093814391,0.105,0.045,1,"Tspan33"
0.0238620864241697,-0.447531448641515,0.525,0.635,1,"Selenof"
0.0239045932088296,-1.26279283882573,0.06,0.125,1,"Akr1b10"
0.0241209337480229,0.805020710769643,0.265,0.175,1,"Ktn1"
0.0241715162523317,-0.612069101672202,0.315,0.41,1,"Snx20"
0.0241780326382918,0.832862077870842,0.21,0.13,1,"Eif4ebp1"
0.0241951963496029,-0.54666154754328,0.165,0.26,1,"Trappc6b"
0.0243010725905321,-0.612027991187435,0.15,0.24,1,"Mrps15"
0.0244422843850678,-0.94559520861957,0.085,0.16,1,"Prune2"
0.0245747281167455,-0.802741192311134,0.065,0.135,1,"Zfp280d"
0.0246220227138888,-0.983948677237711,0.105,0.185,1,"Cyb5r4"
0.0247045311957811,0.61221560813109,0.245,0.15,1,"Eif4ebp2"
0.0247627283357781,-0.53003164792702,0.45,0.55,1,"Arf1"
0.0248866214272567,-1.03281688998934,0.11,0.19,1,"Mrps17"
0.0249393322273372,-0.388996184843115,0.65,0.735,1,"Ndufa13"
0.0249507668802123,0.603747997968612,0.215,0.13,1,"Foxp1"
0.0250450034796127,-0.517513104814339,0.235,0.335,1,"Orai1"
0.0252065375431197,-0.885832668176113,0.13,0.215,1,"Mrpl28"
0.0252240629093952,0.888183363623764,0.235,0.155,1,"Uba1"
0.0253095015224045,1.58767206839637,0.11,0.05,1,"Pou2f1"
0.02536677584056,0.258960218731094,0.82,0.705,1,"Rgs2"
0.0254920826350699,0.83597856681359,0.185,0.105,1,"Epb41l4aos"
0.0255494830910273,-0.287927288540308,0.32,0.43,1,"S100a5"
0.0255993710631063,0.721337820795184,0.41,0.325,1,"Cops9"
0.0256313948819761,-0.314034624032274,0.555,0.66,1,"Laptm4a"
0.0256339910903222,-1.19204022046849,0.065,0.13,1,"Wdr3"
0.0256463002852483,-1.30748143377481,0.07,0.135,1,"Apoc1"
0.0257723271562936,-0.84682145325968,0.105,0.185,1,"Zc3h14"
0.0258423784754178,-0.801229122930414,0.155,0.24,1,"Epcam"
