"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.14456395549143e-07,1.08484737959798,0.3,0.119,0.00538907476375442,"28","Qrich1"
2.17720330330997e-07,0.96121509413467,0.43,0.206,0.00547109418088763,"28","Rsbn1"
2.23128465030756e-07,0.766994070640473,0.55,0.285,0.00560699519775787,"28","Pin4"
2.35607319453863e-07,0.791712462053343,0.48,0.23,0.00592057633055612,"28","Prpf19"
2.37353534049177e-07,0.86287786046845,0.36,0.15,0.00596445695712178,"28","Ccdc88c"
2.42842440599819e-07,0.429524778030075,1,0.948,0.00610238768983286,"28","Hspa8"
2.53845711838188e-07,1.326165348454,0.25,0.093,0.00637888889278183,"28","0610010F05Rik"
2.54496840972765e-07,0.620331019536813,0.59,0.298,0.00639525111680462,"28","Pak1ip1"
2.6416229067357e-07,0.809398392312493,1,0.98,0.00663813420233615,"28","Rps12"
2.68506765183044e-07,0.817428230287515,0.64,0.4,0.0067473065022847,"28","Baz2b"
2.71700929337716e-07,1.08314301633705,0.39,0.185,0.00682757265332747,"28","Wbp1"
2.75018618788005e-07,0.977163408383661,0.33,0.134,0.00691094287152377,"28","Trim27"
2.79488872149503e-07,1.17381152872649,0.28,0.107,0.00702327586824486,"28","Tecpr1"
2.79524139290015e-07,0.916764815978978,0.39,0.177,0.00702416209621878,"28","Zkscan3"
2.81764743539138e-07,0.98079101055728,0.48,0.251,0.00708046624039501,"28","Mrps36"
2.81780913756461e-07,0.88687539774193,0.41,0.19,0.00708087258178612,"28","Emsy"
2.84292476243344e-07,0.712824944971641,0.62,0.333,0.00714398563551899,"28","Psmd2"
2.85530564743777e-07,1.12232868906109,0.31,0.129,0.00717509756144636,"28","Farsa"
2.87619993658089e-07,0.720355132094867,0.38,0.16,0.00722760282063412,"28","Isy1"
2.93512431828288e-07,1.02029771448919,0.38,0.169,0.00737567389941305,"28","Mrpl35"
2.98416273703927e-07,0.564681939196754,0.72,0.43,0.00749890254190599,"28","Hspa4"
3.00448072520889e-07,1.11292615077941,0.28,0.107,0.00754995961437741,"28","Pmpca"
3.01439706543535e-07,1.26675421749614,0.33,0.141,0.0075748783857325,"28","Ago1"
3.02150490862279e-07,1.00405979440545,0.33,0.137,0.00759273968487822,"28","Ppp1r35"
3.04585021184359e-07,0.702630494875108,0.53,0.262,0.00765391699734175,"28","Fam133b"
3.0664235542609e-07,1.2897255832613,0.25,0.094,0.00770561574950222,"28","Ccdc112"
3.21126799450034e-07,1.02221161642175,0.35,0.155,0.0080695953433799,"28","Agpat5"
3.21486089877187e-07,1.14992775350396,0.36,0.162,0.00807862395252382,"28","Utp14a"
3.26211786286239e-07,1.17345089797977,0.26,0.097,0.00819737597758689,"28","Cstf2"
3.32968843913273e-07,0.88358741547326,0.65,0.429,0.00836717407869664,"28","Mtch1"
3.33088404383718e-07,0.789465122083899,0.67,0.422,0.00837017851375846,"28","Mrps24"
3.3761778959964e-07,1.26675897953692,0.26,0.098,0.00848399743484936,"28","Etaa1"
3.40771500878784e-07,0.733994202102775,0.66,0.397,0.00856324704558297,"28","Cyc1"
3.43634867548067e-07,1.39119670607149,0.25,0.095,0.00863520058661539,"28","Tmem29"
3.55766337891758e-07,1.24231868157296,0.32,0.135,0.00894005230488199,"28","Rad17"
3.64692940559348e-07,0.825685491163393,0.5,0.245,0.00916436890331587,"28","Acbd6"
3.82732866745077e-07,1.04993240266392,0.36,0.162,0.00961769420843704,"28","Zfp260"
3.92388962968551e-07,0.909921027665163,0.37,0.161,0.00986034225043672,"28","Zfp330"
3.97713474208533e-07,0.939029638182382,0.4,0.183,0.00999414189338623,"28","Tnpo1"
4.06268942283268e-07,0.717851345056656,0.56,0.297,0.0102091322506362,"28","Vps35"
4.07235730706666e-07,1.0483892632229,0.33,0.138,0.0102334266769278,"28","Parp2"
4.11546065290101e-07,0.326296922023664,1,0.835,0.010341741074675,"28","Cfl1"
4.13937806120626e-07,1.17910451235566,0.27,0.101,0.0104018431300052,"28","Cdc16"
4.19370798819012e-07,0.654463609816487,0.69,0.41,0.010538368803523,"28","Dctn3"
4.31704038013805e-07,0.853899369828237,0.41,0.187,0.0108482907712489,"28","Ube2j2"
4.5415143276058e-07,0.637362160858012,0.64,0.351,0.0114123713538406,"28","Psmc2"
4.55914439678813e-07,1.03431648655032,0.31,0.129,0.0114566739546889,"28","Kars"
4.56196074966748e-07,0.641265559573209,0.76,0.461,0.0114637511678394,"28","Ndufa8"
4.64006750547643e-07,1.24523064806955,0.27,0.102,0.0116600256345117,"28","Nmd3"
4.71325833713896e-07,0.897300227334726,0.54,0.303,0.0118439468753965,"28","Rsf1"
4.76308635526639e-07,0.482426226731932,1,0.98,0.0119691597021489,"28","Rpl27a"
4.77936823602376e-07,0.273215619647853,0.99,0.843,0.0120100744403041,"28","Cox7a2"
4.84000265089854e-07,1.0154358347442,0.31,0.126,0.0121624426614429,"28","Gtf3c2"
4.9587294747928e-07,1.31619601595619,0.29,0.117,0.0124607912972068,"28","Ubxn7"
4.9830501016197e-07,0.334569344408198,0.53,0.276,0.0125219066003602,"28","Fam162a"
4.98651654821749e-07,0.952676245580416,0.34,0.143,0.0125306174340157,"28","Zfp329"
5.03813026813347e-07,0.924569107002157,0.36,0.157,0.0126603175507926,"28","Apip"
5.0438479985067e-07,0.860459299005928,0.51,0.264,0.0126746856354475,"28","Dcun1d5"
5.26453044503615e-07,0.985093040100641,0.37,0.166,0.0132292385553314,"28","Rsl24d1"
5.26979461230524e-07,0.73645743029182,0.52,0.27,0.0132424668812618,"28","Naa50"
5.44489365513937e-07,0.775386107597412,0.42,0.199,0.0136824732659997,"28","Rev3l"
5.51057985605638e-07,0.630773927602045,0.71,0.43,0.0138475361202841,"28","Rnf7"
5.62581148763597e-07,0.705055651616209,0.48,0.239,0.0141371016872804,"28","Mrpl32"
6.00893851146594e-07,0.861775005799884,0.49,0.244,0.0150998615854628,"28","Ptbp1"
6.14020694068721e-07,0.876294030913391,0.58,0.339,0.0154297260212529,"28","Timm23"
6.26981204316842e-07,0.696685313683314,0.69,0.413,0.0157554106832779,"28","Cdc37"
